year,state,revenue,latitude,longitude
2011-2020,ACT,54609,-35.3546004,149.2113468
2011-2020,NSW,937765,-31.840233,145.612793
2011-2020,NT,30708,-19.491411,132.550964
2011-2020,QLD,604580,-20.917574,142.702789
2011-2020,SA,195356,-30.000233,136.209152
2011-2020,TAS,59580,-40.832922,145.11666
2011-2020,VIC,748500,-37.0201,144.9646
2011-2020,WA,333953,-25.042261,117.793221
